Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/nats.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/nats.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/nats.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports,DELETE,com.nokia.eda.nats.v1alpha1.ClusterExportList,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports,GET,com.nokia.eda.nats.v1alpha1.ClusterExportList,cluster_export_list,true,true,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports,POST,com.nokia.eda.nats.v1alpha1.ClusterExport,cluster_export,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/_deleted,GET,com.nokia.eda.nats.v1alpha1.ClusterExport_DeletedResources,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name},DELETE,Status,cluster_export,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name},GET,com.nokia.eda.nats.v1alpha1.ClusterExport,cluster_export,true,true,true
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name},PATCH,com.nokia.eda.nats.v1alpha1.ClusterExport,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name},PUT,com.nokia.eda.nats.v1alpha1.ClusterExport,cluster_export,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterexports/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers,DELETE,com.nokia.eda.nats.v1alpha1.ClusterPublisherList,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers,GET,com.nokia.eda.nats.v1alpha1.ClusterPublisherList,cluster_publisher_list,true,true,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers,POST,com.nokia.eda.nats.v1alpha1.ClusterPublisher,cluster_publisher,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/_deleted,GET,com.nokia.eda.nats.v1alpha1.ClusterPublisher_DeletedResources,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name},DELETE,Status,cluster_publisher,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name},GET,com.nokia.eda.nats.v1alpha1.ClusterPublisher,cluster_publisher,true,true,true
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name},PATCH,com.nokia.eda.nats.v1alpha1.ClusterPublisher,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name},PUT,com.nokia.eda.nats.v1alpha1.ClusterPublisher,cluster_publisher,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/clusterpublishers/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/exports,GET,com.nokia.eda.nats.v1alpha1.ExportList,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports,DELETE,com.nokia.eda.nats.v1alpha1.ExportList,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports,GET,com.nokia.eda.nats.v1alpha1.ExportList,export_list,true,true,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports,POST,com.nokia.eda.nats.v1alpha1.Export,export,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/_deleted,GET,com.nokia.eda.nats.v1alpha1.Export_DeletedResources,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},DELETE,Status,export,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},GET,com.nokia.eda.nats.v1alpha1.Export,export,true,true,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},PATCH,com.nokia.eda.nats.v1alpha1.Export,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},PUT,com.nokia.eda.nats.v1alpha1.Export,export,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers,DELETE,com.nokia.eda.nats.v1alpha1.PublisherList,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers,GET,com.nokia.eda.nats.v1alpha1.PublisherList,publisher_list,true,true,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers,POST,com.nokia.eda.nats.v1alpha1.Publisher,publisher,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/_deleted,GET,com.nokia.eda.nats.v1alpha1.Publisher_DeletedResources,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name},DELETE,Status,publisher,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name},GET,com.nokia.eda.nats.v1alpha1.Publisher,publisher,true,true,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name},PATCH,com.nokia.eda.nats.v1alpha1.Publisher,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name},PUT,com.nokia.eda.nats.v1alpha1.Publisher,publisher,true,false,true
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/namespaces/{namespace}/publishers/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/nats.eda.nokia.com/v1alpha1/publishers,GET,com.nokia.eda.nats.v1alpha1.PublisherList,,false,false,false
